,ID_CLIENTE,SAFRA_REF,INADIMPLENTE
0,5058298901476893676,2021-07,0
1,274692171162531764,2021-07,0
2,274692171162531764,2021-07,0
3,274692171162531764,2021-07,0
4,465309249432033993,2021-07,0
5,465309249432033993,2021-07,0
6,465309249432033993,2021-07,0
7,465309249432033993,2021-07,0
8,5883155883105348987,2021-07,1
9,5883155883105348987,2021-07,1
10,4489904752023469353,2021-07,0
11,3355881107559250653,2021-07,0
12,3355881107559250653,2021-07,0
13,3355881107559250653,2021-07,0
14,3355881107559250653,2021-07,1
15,3355881107559250653,2021-07,1
16,3355881107559250653,2021-07,0
17,3355881107559250653,2021-07,0
18,6330043096034525408,2021-07,0
19,6330043096034525408,2021-07,0
20,6964108750473070287,2021-07,0
21,6964108750473070287,2021-07,0
22,6964108750473070287,2021-07,0
23,6964108750473070287,2021-07,0
24,6964108750473070287,2021-07,0
25,6964108750473070287,2021-07,0
26,6964108750473070287,2021-07,0
27,6964108750473070287,2021-07,0
28,6964108750473070287,2021-07,0
29,6964108750473070287,2021-07,0
30,6964108750473070287,2021-07,0
31,6964108750473070287,2021-07,0
32,6964108750473070287,2021-07,0
33,6964108750473070287,2021-07,0
34,6964108750473070287,2021-07,0
35,6964108750473070287,2021-07,0
36,4008627434689715639,2021-07,0
37,4008627434689715639,2021-07,0
38,4008627434689715639,2021-07,1
39,5757271354816214865,2021-07,1
40,5757271354816214865,2021-07,1
41,5757271354816214865,2021-07,1
42,5757271354816214865,2021-07,1
43,5757271354816214865,2021-07,1
44,5757271354816214865,2021-07,1
45,5757271354816214865,2021-07,1
46,5757271354816214865,2021-07,1
47,5757271354816214865,2021-07,1
48,5757271354816214865,2021-07,1
49,5757271354816214865,2021-07,1
50,5757271354816214865,2021-07,1
51,5757271354816214865,2021-07,1
52,5757271354816214865,2021-07,1
53,5757271354816214865,2021-07,1
54,8909740532547211288,2021-07,0
55,8909740532547211288,2021-07,0
56,8909740532547211288,2021-07,0
57,4045739494965095560,2021-07,0
58,4045739494965095560,2021-07,0
59,4045739494965095560,2021-07,0
60,6759864637454708017,2021-07,0
61,6759864637454708017,2021-07,0
62,6759864637454708017,2021-07,0
63,6759864637454708017,2021-07,0
64,6759864637454708017,2021-07,0
65,6759864637454708017,2021-07,0
66,6134696632487351445,2021-07,0
67,6134696632487351445,2021-07,0
68,6134696632487351445,2021-07,0
69,5373371196946859811,2021-07,0
70,3095686599956852697,2021-07,0
71,3095686599956852697,2021-07,0
72,3095686599956852697,2021-07,0
73,1616952665234409442,2021-07,1
74,1616952665234409442,2021-07,1
75,1088521227159442264,2021-07,0
76,1088521227159442264,2021-07,0
77,1088521227159442264,2021-07,0
78,8529899700094903171,2021-07,0
79,8529899700094903171,2021-07,0
80,8529899700094903171,2021-07,0
81,8529899700094903171,2021-07,0
82,8529899700094903171,2021-07,0
83,8529899700094903171,2021-07,0
84,8529899700094903171,2021-07,0
85,499242942549937267,2021-07,0
86,499242942549937267,2021-07,0
87,499242942549937267,2021-07,0
88,499242942549937267,2021-07,0
89,499242942549937267,2021-07,0
90,499242942549937267,2021-07,0
91,499242942549937267,2021-07,0
92,499242942549937267,2021-07,0
93,499242942549937267,2021-07,0
94,5897410907783139228,2021-07,0
95,5897410907783139228,2021-07,0
96,5897410907783139228,2021-07,0
97,5897410907783139228,2021-07,0
98,2083323809219952960,2021-07,0
99,2083323809219952960,2021-07,0
100,2083323809219952960,2021-07,0
101,2083323809219952960,2021-07,0
102,2083323809219952960,2021-07,0
103,2083323809219952960,2021-07,0
104,2083323809219952960,2021-07,0
105,2083323809219952960,2021-07,0
106,2083323809219952960,2021-07,0
107,2083323809219952960,2021-07,0
108,1953058402621337677,2021-07,0
109,1953058402621337677,2021-07,0
110,1953058402621337677,2021-07,0
111,1953058402621337677,2021-07,0
112,3408536439470975134,2021-07,0
113,3408536439470975134,2021-07,0
114,3408536439470975134,2021-07,0
115,3408536439470975134,2021-07,0
116,5687511145009775604,2021-07,0
117,5687511145009775604,2021-07,1
118,7485107528960607346,2021-07,0
119,7485107528960607346,2021-07,0
120,531805620371082364,2021-07,0
121,5761480994209806499,2021-07,0
122,5761480994209806499,2021-07,0
123,5761480994209806499,2021-07,0
124,5761480994209806499,2021-07,0
125,5761480994209806499,2021-07,0
126,5761480994209806499,2021-07,0
127,5761480994209806499,2021-07,0
128,5761480994209806499,2021-07,0
129,5761480994209806499,2021-07,0
130,5761480994209806499,2021-07,0
131,5761480994209806499,2021-07,0
132,5761480994209806499,2021-07,0
133,5761480994209806499,2021-07,0
134,5761480994209806499,2021-07,0
135,5761480994209806499,2021-07,0
136,5761480994209806499,2021-07,0
137,4762256864594914240,2021-07,0
138,8570963260597299378,2021-07,0
139,5974858472822751652,2021-07,0
140,3421433989501830226,2021-07,1
141,4327694790333781288,2021-07,0
142,4327694790333781288,2021-07,0
143,8173830874846355280,2021-07,1
144,8173830874846355280,2021-07,1
145,8173830874846355280,2021-07,1
146,8173830874846355280,2021-07,1
147,8173830874846355280,2021-07,1
148,8173830874846355280,2021-07,1
149,8173830874846355280,2021-07,1
150,8173830874846355280,2021-07,1
151,8173830874846355280,2021-07,1
152,8173830874846355280,2021-07,1
153,2347028805684088098,2021-07,0
154,3632378524835692731,2021-07,0
155,3632378524835692731,2021-07,0
156,3632378524835692731,2021-07,0
157,2033394215069562776,2021-07,0
158,2033394215069562776,2021-07,0
159,2033394215069562776,2021-07,0
160,2033394215069562776,2021-07,0
161,3285246914299291124,2021-07,0
162,3285246914299291124,2021-07,0
163,3285246914299291124,2021-07,0
164,3285246914299291124,2021-07,0
165,2929243640075785940,2021-07,0
166,2929243640075785940,2021-07,0
167,2929243640075785940,2021-07,0
168,2929243640075785940,2021-07,0
169,2929243640075785940,2021-07,0
